StudentId;ResourceId
439;Brainstorming
412;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
421;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
421;Brainstorming
428;Brainstorming
428;Quiz zu Brainstorming
412;Quiz zu Brainstorming
