StudentId;ResourceId
364;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
396;Brainstorming
396;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
378;Brainstorming
378;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
392;Quiz zu Brainstorming
378;Quiz zu Brainstorming
364;Brainstorming
396;Quiz zu Brainstorming
