StudentId;ResourceId
52;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
52;Brainstorming
471;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
441;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
