StudentId;ResourceId
352;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
352;Brainstorming
488;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
483;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
483;Cognitive Stimulation Interference_Stroebe & Nijstad (2004)
483;Brainstorming
455;Brainstorming
488;Quiz zu Brainstorming
455;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
