StudentId;ResourceId
493;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
493;Cognitive Stimulation Interference_Stroebe & Nijstad (2004)
493;Brainstorming
460;Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004)
481;Brainstorming
460;Brainstorming
